"tax_cat","prod","n_obs","lm_r2","lm_adj_r2","lm_aic","lm_bic","lm_rmse","lm_df","lm_fstat","lm_pval","seg_r2","seg_adj_r2","seg_aic","seg_bic","seg_rmse","seg_df","seg_fstat","seg_pval","lm_XSSB_p_value","lm_xSSB_intervention_p_value","lm_xSSB_post_p_value","lm_t_p_value","seg_XSSB_p_value","seg_xSSB_intervention_p_value","seg_xSSB_post_p_value","seg_t_p_value"
"Reduced Tax Group","תירוש",290,0.453141398626394,0.445466190186063,2769.10172842186,2791.12101395974,28.0695437571388,285,59.0396211580715,2.91016078249508e-36,0.453719435177931,0.442137515075697,2772.79503258522,2802.15407996906,28.054704901107,283,39.1748027246698,1.49581610517802e-34,NA,0.283763848581017,0.575019103127138,0.0591316146136728,NA,0.417789330686812,0.639414985483459,0.273608041167551
"Reduced Tax Group","ביצים",290,0.518767012520333,0.512012865327636,2764.829316096,2786.84860163388,27.8635367725537,285,76.8071819757273,4.076296001885e-44,0.519815564807804,0.509634976075814,2768.19674947767,2797.55579686151,27.8331644704285,283,51.0594798092974,2.32385321971949e-42,NA,0.440368592921635,0.911334885921096,0.222328886506399,NA,0.790240034271726,0.974448763991765,0.458433140376153
"Reduced Tax Group","קיטניות משני",290,0.474894835665607,0.467524938622317,2780.86979053028,2802.88907606816,28.6448851590893,285,64.4371058206297,9.37301269942628e-39,0.476299560782278,0.465196371258228,2784.09296301135,2813.45201039519,28.606545090238,283,42.8975439670344,4.19115985898676e-37,NA,0.460780346481807,0.928901619208565,0.246691724465754,NA,0.753459559167714,0.974870477666703,0.311073212123346
"Reduced Tax Group","ופלות",290,0.49954137752242,0.492517396856068,2767.19332837078,2789.21261390866,27.9773370556674,285,71.1194123747303,1.04330175480735e-41,0.501524116575087,0.490955723286926,2770.04211159537,2799.40115897921,27.9218611301876,283,47.4550958599281,4.29462956956373e-40,NA,0.503996324228123,0.970922930647831,0.32044064209221,NA,0.995512647872699,0.919124703968152,0.597947679566861
"Reduced Tax Group","חטיפי בוטנים",290,0.442289380143259,0.434461862671585,2784.30456280269,2806.32384834057,28.815024060961,285,56.5044257957683,4.67334960274425e-35,0.443792072787926,0.431999678571416,2787.52213372392,2816.88118110776,28.7761783500868,283,37.6337548287334,1.83102603284533e-33,NA,0.312888618533455,0.620872546485496,0.0781699573280124,NA,0.665245346377248,0.599587575118708,0.862995257141149
"Reduced Tax Group","מסטיקים",290,0.448044416168096,0.440297671131858,2772.64282859774,2794.66211413562,28.2414422252158,285,57.8364737799244,1.0795036033346e-35,0.451323430309188,0.439690711517157,2774.91488177876,2804.2739291626,28.1574300012709,283,38.7977598683425,2.74975879678557e-34,NA,0.534249099098146,0.923878995359539,0.370944699417939,NA,0.880738354588453,0.776586372108243,0.177654453402832
"Reduced Tax Group","פריכיות",290,0.505584088580675,0.498644917894088,2767.64716942804,2789.66645496592,27.9992374577904,285,72.8594397537932,1.86968046281431e-42,0.507009469656602,0.496557373606919,2770.80990367472,2800.16895105856,27.9588479919004,283,48.5079229320671,9.16756386007731e-41,NA,0.54076726143295,0.905439873160707,0.385042660077611,NA,0.980143734355205,0.869937475275776,0.692481161686086
"Reduced Tax Group","שמרים",290,0.518827070279288,0.512073766002506,2764.8335505887,2786.85283612658,27.8637402007841,285,76.8256617820454,4.00489705876463e-44,0.519879051826515,0.509699809109055,2768.19883361505,2797.5578809989,27.8332644846403,283,51.0724683806623,2.28132894089987e-42,NA,0.440906372153549,0.912387109027942,0.223089198140095,NA,0.791285444615019,0.975615469092944,0.458348524611666
"Reduced Tax Group","ליקר",290,0.493742104376411,0.486636730402747,2773.46579808468,2795.48508362256,28.2815428150388,285,69.4885457410734,5.32631750573445e-41,0.496212344952632,0.485531334598271,2776.0473052357,2805.40635261954,28.2124597988537,283,46.4574350637179,1.88444755799487e-39,NA,0.69010481967856,0.673428608847543,0.688088494469019,NA,0.76172532720899,0.638902146667458,0.812401567073084
"Reduced Tax Group","עוגות",290,0.495632094474558,0.488553246677709,2769.07857928897,2791.09786482685,28.0684234594985,285,70.015927549004,3.13755182374741e-41,0.497952465808832,0.487308348476157,2771.74134050524,2801.10038788908,28.0037838929932,283,46.781940695095,1.1629262176393e-39,NA,0.590125528315714,0.823104051538516,0.478901271277294,NA,0.997384426439167,0.714096532555843,0.325114620079376
"Reduced Tax Group","חנויות ממתקים",290,0.420763631277165,0.412633998031932,2786.18623723141,2808.20552276929,28.908659478184,285,51.7567790064701,9.81728059497203e-33,0.423896454125723,0.411682244672558,2788.61350380235,2817.9725511862,28.8303766707084,283,34.7051895377384,2.41694566030672e-31,NA,0.65539125413692,0.7415866783527,0.604865743644218,NA,0.765327929876447,0.709310770824284,0.823449886294189
"Reduced Tax Group","דייסות ומחיות",290,0.517817261708861,0.511049784680213,2764.98864343332,2787.00792897121,27.8711920017573,285,76.515555134783,5.38888475131651e-44,0.518927289827912,0.508727868410836,2768.32026767167,2797.67931505551,27.8390925192329,283,50.8781104935143,3.0082724812896e-42,NA,0.455658374725379,0.940965920891526,0.244447834177605,NA,0.814671338914462,0.994323691626044,0.462283140312552
"Reduced Tax Group","מאפים משני",290,0.491217296358117,0.484076486482442,2769.56723807945,2791.58652361734,28.0920814963961,285,68.7901379409917,1.07673104983741e-40,0.493050120744233,0.482302066767079,2772.52066409375,2801.87971147759,28.0414367860337,283,45.8734317665555,4.51062237398576e-39,NA,0.585148395443992,0.832042026878906,0.468761059825597,NA,0.96550351489126,0.737464825168458,0.379510664808418
"Reduced Tax Group","מים משני",290,0.517338685707966,0.510564491823166,2764.98819556444,2787.00748110232,27.8711704799731,285,76.3690402881351,6.201493386096e-44,0.518226752497935,0.508012478699305,2768.45412212476,2797.81316950861,27.8455180649765,283,50.7355454449855,3.68622527066613e-42,NA,0.435386105655499,0.901281751645234,0.215286412304607,NA,0.755311860500574,0.962266498109704,0.457267791482802
"Reduced Tax Group","נקנינקיות",290,0.48834580149112,0.4811646899331,2769.50347528898,2791.52276082686,28.0889933394136,285,68.0042076418891,2.38723951347462e-40,0.49042664818632,0.47962297288285,2772.32166937991,2801.68071676376,28.031817578192,283,45.394426841835,9.2654587411596e-39,NA,0.529099047659244,0.928696142867671,0.363099639786921,NA,0.829504041352632,0.807001934145789,0.244991857447167
"Reduced Tax Group","חמאה",290,0.488843082495009,0.4816689503195,2773.35479778759,2795.37408332548,28.2761308162834,285,68.1396816417519,2.0804344864933e-40,0.48914978652659,0.478319039951182,2777.1807399574,2806.53978734125,28.2676464308485,283,45.1630719194594,1.31349126922016e-38,NA,0.564690063186411,0.871786040053703,0.427099991074549,NA,0.739943354373232,0.830258970610169,0.584055136059386
"Reduced Tax Group","חנויות מזון מהטבע",290,0.513492686865175,0.506664514049248,2765.38950070196,2787.40878623984,27.8904613665626,285,75.2020636717636,1.90756689521383e-43,0.514393562048788,0.504098019194699,2768.8520041842,2798.21105156805,27.8646267428028,283,49.9627430373403,1.1148830137218e-41,NA,0.477898228216775,0.98296836222902,0.278424018272706,NA,0.797697761670278,0.955259649701394,0.477954273868821
